global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
8650,172,-2.39726,50,0.9726,,,69.598,6.5352,0.54,238.48
8700,173,-0.31179,50,0.9725,,,66.966,2.1921,0.2,28.19
8750,174,-0.59993,50,0.9723,,,71.131,2.8808,0.32,58.4
8800,175,-2.90735,50,0.9721,,,75.67,7.3046,0.56,289.04
8850,176,-2.06356,50,0.972,,,63.508,6.1372,0.54,193.7
8900,177,-4.12272,50,0.9718,,,70.366,10.5023,0.64,388.46
8950,178,-0.65037,50,0.9717,,,60.13,3.0711,0.32,57.46
9000,179,-3.13002,50,0.9715,,,65.453,6.7499,0.6,340.08
9050,180,-1.78979,50,0.9713,,,70.289,6.641,0.6,139.13
9100,181,-1.60269,50,0.9712,,,75.353,5.4652,0.48,137.27
9150,182,-2.6421,50,0.971,,,62.069,7.4528,0.62,252.3
9200,183,-0.15609,50,0.9709,,,70.443,1.8467,0.1,10.81
9250,184,-1.9246,50,0.9707,,,78.51,5.7437,0.46,183.96
9300,185,-0.95906,50,0.9706,,,65.335,4.3052,0.44,74.25
9350,186,-5.3975,50,0.9704,,,77.55,11.7555,0.76,552.22
9400,187,-2.38559,50,0.9702,,,68.543,6.7454,0.56,228.49
9450,188,-1.32517,50,0.9701,,,75.669,4.1171,0.36,132.87
9500,189,-0.596,50,0.9699,,,72.449,3.3299,0.32,40.77
9550,190,-3.74747,50,0.9698,,,72.071,8.8296,0.56,376.86
9600,191,-1.25767,50,0.9696,,,71.289,4.4681,0.32,115.38
9650,192,-1.40522,50,0.9694,,,69.035,5.1508,0.46,122.63
9700,193,-0.4419,50,0.9693,,,68.767,2.5612,0.3,40.15
9750,194,-0.18721,50,0.9691,,,64.513,1.6487,0.16,18.84
9800,195,-3.14371,50,0.969,,,72.343,7.8795,0.64,316.53
9850,196,-0.32354,50,0.9688,,,66.782,2.5607,0.18,22.64
9900,197,-0.7048,50,0.9687,,,70.325,3.4482,0.2,56.04
9950,198,-2.1259,50,0.9685,,,60.867,6.2764,0.64,196.08
10000,199,-1.57467,50,0.9683,,,62.152,5.2597,0.6,140.09
10050,200,-1.83373,50,0.9682,0.009188,,67.412,6.0016,0.54,162.52
10100,201,-0.6993,50,0.968,0.006272,,70.543,3.4419,0.28,48.46
10150,202,-2.72925,50,0.9679,0.006401,,80.406,8.0107,0.48,248.25
10200,203,-1.44489,50,0.9677,0.005368,,72.478,5.3851,0.46,110.74
10250,204,-1.80796,50,0.9675,0.007964,,66.157,6.1197,0.62,157.91
10300,205,-0.77831,50,0.9674,0.006242,,69.021,3.2,0.3,69.11
10350,206,-1.57175,50,0.9672,0.007149,,62.25,4.9849,0.46,157.79
10400,207,-1.47413,50,0.9671,0.006957,,78.049,4.4958,0.38,136.73
10450,208,-3.18113,50,0.9669,0.007653,,67.279,7.419,0.56,331.93
10500,209,-4.37417,50,0.9667,0.006514,,73.103,9.5801,0.64,450.18
10550,210,-0.79702,50,0.9666,0.006289,,68.794,3.3672,0.34,73.49
10600,211,-3.77095,50,0.9664,0.006644,,73.981,9.3823,0.74,366.56
10650,212,-1.48918,50,0.9663,0.006154,,63.22,4.288,0.42,155.14
10700,213,-0.67432,50,0.9661,0.00555,,64.072,3.2848,0.34,57.24
10750,214,-0.87173,50,0.966,0.004883,,76.26,3.0078,0.3,88.99
10800,215,-0.89221,50,0.9658,0.00539,,64.943,3.8293,0.48,81.54
10850,216,-0.49255,50,0.9656,0.004858,,69.299,2.6723,0.26,41.87
10900,217,-2.10494,50,0.9655,0.004813,,68.819,6.4657,0.64,191.4
10950,218,-3.01799,50,0.9653,0.005188,,82.466,8.0507,0.58,277.94
11000,219,-1.65296,50,0.9652,0.00467,,67.68,5.6669,0.42,148.33
11050,220,-2.17052,50,0.965,0.006055,,77.761,5.784,0.38,212.58
11100,221,-0.23295,50,0.9648,0.004768,,73.615,1.6717,0.28,30.31
11150,222,-0.21468,50,0.9647,0.004219,,68.481,1.8374,0.12,24.83
11200,223,-0.69041,50,0.9645,0.003876,,78.42,2.3931,0.22,77.74
11250,224,-1.52581,50,0.9644,0.003563,,67.791,5.4597,0.52,133.9
11300,225,-1.2659,50,0.9642,0.003761,,66.065,4.8234,0.44,105.03
11350,226,-3.61207,50,0.9641,0.003601,,64.284,8.2677,0.58,370.22
11400,227,-2.82133,50,0.9639,0.003529,,75.24,7.5093,0.52,276.05
11450,228,-0.80796,50,0.9637,0.003297,,68.555,3.6823,0.3,67.99
11500,229,-0.00073,50,0.9636,0.003445,,67.52,1.2471,0.04,3.41
11550,230,-5.42329,50,0.9634,0.003673,,73.511,10.496,0.68,589.85
11600,231,-5.84472,50,0.9633,0.003525,,74.352,12.8772,0.66,590.81
11650,232,-2.46287,50,0.9631,0.003449,,65.098,7.2572,0.5,223.16
11700,233,-0.9611,50,0.9629,0.003748,,71.601,4.0552,0.3,75.71
11750,234,0.14293,50,0.9628,0.003067,,76.362,0.3937,0.02,2.26
11800,235,-1.21949,50,0.9626,0.003209,,67.047,4.9247,0.5,103.29
11850,236,-0.33703,50,0.9625,0.003361,,65.525,2.3675,0.18,27.48
11900,237,-2.8495,50,0.9623,0.003419,,65.924,8.3221,0.62,257.87
11950,238,-0.68965,50,0.9622,0.002988,,72.403,2.8537,0.26,68.26
12000,239,-4.59372,50,0.962,0.003209,,73.693,10.4282,0.64,468.8
12050,240,-4.21884,50,0.9618,0.004681,,70.604,10.6515,0.72,402.51
12100,241,-1.79282,50,0.9617,0.003911,,79.359,5.2691,0.34,170.69
12150,242,-3.11172,50,0.9615,0.003451,,74.564,8.0632,0.56,304.7
12200,243,-0.83466,50,0.9614,0.003018,,72.575,3.3334,0.28,72.81
12250,244,-0.34245,50,0.9612,0.002865,,63.244,2.4732,0.2,26.38
12300,245,-1.63262,50,0.961,0.003021,,69.296,5.1799,0.52,144.1
12350,246,-1.11118,50,0.9609,0.003025,,72.69,5.3157,0.46,61.78
12400,247,-2.28651,50,0.9607,0.003069,,72.243,6.6933,0.66,205.26
12450,248,-1.80585,50,0.9606,0.003073,,69.05,5.3913,0.48,173.47
12500,249,-1.72076,50,0.9604,0.002767,,68.724,4.9297,0.46,176.1
12550,250,0.04847,50,0.9603,0.002903,,66.602,0.9482,0.06,2.64
12600,251,-1.63325,50,0.9601,0.002919,,63.555,5.485,0.58,145.35
12650,252,-3.62332,50,0.9599,0.002842,,76.445,7.6974,0.68,391.48
12700,253,-3.46931,50,0.9598,0.002915,,69.166,8.9304,0.62,337.19
12750,254,-0.12941,50,0.9596,0.003004,,75.903,1.2909,0.14,18.97
12800,255,-0.25219,50,0.9595,0.003344,,75.346,2.0263,0.2,25.19
12850,256,-1.77092,50,0.9593,0.003001,,69.202,5.5177,0.48,167.87
12900,257,-1.60938,50,0.9591,0.002619,,74.691,5.3584,0.42,144.42
12950,258,-1.17184,50,0.959,0.002512,,74.407,4.6252,0.4,95.64
13000,259,-2.13896,50,0.9588,0.002656,,64.609,6.8612,0.54,189.7
13050,260,-1.55922,50,0.9587,0.004698,,65.976,5.4282,0.48,133.89
13100,261,-2.3272,50,0.9585,0.003878,,69.595,6.6938,0.56,219.54
13150,262,-1.90013,50,0.9584,0.003266,,72.184,5.5172,0.5,189.18
13200,263,-1.08833,50,0.9582,0.003431,,70.15,4.2031,0.38,105.49
13250,264,-0.64487,50,0.958,0.003403,,66.272,2.6331,0.22,67.63
13300,265,-1.26947,50,0.9579,0.003162,,69.199,4.3157,0.38,123.37
13350,266,-1.28892,50,0.9577,0.00314,,68.522,4.4668,0.38,110.68
13400,267,-1.12096,50,0.9576,0.003021,,71.026,4.6067,0.52,86.32
13450,268,-1.31554,50,0.9574,0.002902,,66.994,4.4213,0.44,117.07
13500,269,-2.55445,50,0.9573,0.00309,,70.615,6.6533,0.48,255.75
13550,270,-2.28234,50,0.9571,0.003128,,70.744,6.8861,0.48,199.03
13600,271,-4.00535,50,0.9569,0.003148,,62.727,8.0667,0.62,443.55
13650,272,-1.85519,50,0.9568,0.003279,,64.795,5.5289,0.52,175.42
13700,273,-7.62372,50,0.9566,0.002821,,66.238,13.337,0.74,857.28
13750,274,-3.63291,50,0.9565,0.00295,,68.532,8.2833,0.62,377.15
13800,275,-1.29208,50,0.9563,0.002992,,77.599,4.4809,0.46,109.09
13850,276,-1.58112,50,0.9561,0.003112,,82.657,5.1187,0.38,137.21
13900,277,-1.87602,50,0.956,0.003175,,66.653,5.5766,0.5,182.64
13950,278,-0.89247,50,0.9558,0.003302,,73.436,3.5805,0.42,86.81
14000,279,-2.06456,50,0.9557,0.003239,,69.259,6.3379,0.5,190.74
14050,280,-0.00563,50,0.9555,0.005346,,63.874,1.4979,0.08,5.5
14100,281,-3.93138,50,0.9554,0.004837,,73.613,10.0263,0.7,380.91
14150,282,-0.55935,50,0.9552,0.00467,,77.262,2.4992,0.3,54.01
14200,283,-0.88095,50,0.955,0.004154,,62.883,3.5547,0.42,80.49
14250,284,-0.16809,50,0.9549,0.00376,,71.275,1.6023,0.1,16.71
14300,285,-1.01157,50,0.9547,0.003968,,69.221,3.9062,0.32,102.38
14350,286,-3.01553,50,0.9546,0.004181,,73.781,7.8313,0.58,287.88
14400,287,-3.15467,50,0.9544,0.00413,,72.55,7.5469,0.54,328.03
