global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
5750,114,-5.7151,50,0.9818,,,64.399,10.9268,0.66,629.83
5800,115,-5.77215,50,0.9816,,,69.291,9.2481,0.62,680.24
5850,116,-2.05736,50,0.9815,,,73.281,6.2776,0.5,190.36
5900,117,-0.91213,50,0.9813,,,62.611,2.8944,0.24,104.07
5950,118,-1.54381,50,0.9812,,,66.997,3.3558,0.28,186.16
6000,119,-1.88777,50,0.981,,,72.0,5.0741,0.46,196.64
6050,120,-3.42435,50,0.9808,,,67.853,9.4823,0.62,301.11
6100,121,-0.26174,50,0.9807,,,74.427,1.5814,0.22,36.26
6150,122,-0.59951,50,0.9805,,,70.245,3.1431,0.34,43.25
6200,123,-2.9247,50,0.9804,,,66.061,6.9019,0.46,300.81
6250,124,-1.18306,50,0.9802,,,74.929,4.4051,0.4,95.21
6300,125,-3.58521,50,0.98,,,72.753,8.7523,0.5,348.28
6350,126,-2.30275,50,0.9799,,,64.889,5.4881,0.38,242.02
6400,127,-0.35182,50,0.9797,,,67.36,1.7903,0.2,50.75
6450,128,-2.28031,50,0.9796,,,62.46,5.8725,0.48,236.57
6500,129,-0.19415,50,0.9794,,,70.281,1.6488,0.18,23.92
6550,130,-2.02417,50,0.9793,,,66.014,4.6926,0.34,219.33
6600,131,-2.46183,50,0.9791,,,74.828,5.6994,0.36,266.8
6650,132,-4.07818,50,0.9789,,,82.308,8.6879,0.54,421.91
6700,133,-1.26919,50,0.9788,,,74.423,3.4739,0.24,145.75
6750,134,-9.2254,50,0.9786,,,81.18,15.2876,0.74,1045.93
6800,135,-2.5999,50,0.9785,,,66.199,6.556,0.48,267.84
6850,136,-2.54352,50,0.9783,,,68.75,5.7956,0.5,268.15
6900,137,-1.72232,50,0.9781,,,69.451,4.1247,0.36,185.17
6950,138,-1.84212,50,0.978,,,69.413,5.1785,0.36,184.31
7000,139,-3.07714,50,0.9778,,,71.71,8.1968,0.48,290.0
7050,140,-6.8403,50,0.9777,,,69.138,11.9695,0.66,765.41
7100,141,-2.91931,50,0.9775,,,73.438,7.6471,0.52,280.31
7150,142,-1.03423,50,0.9774,,,73.422,4.0283,0.32,90.0
7200,143,-0.77079,50,0.9772,,,79.666,2.6467,0.26,72.1
7250,144,-4.31722,50,0.977,,,69.389,8.3121,0.54,486.08
7300,145,-0.88329,50,0.9769,,,73.979,2.5592,0.26,106.24
7350,146,-3.85066,50,0.9767,,,59.306,7.0666,0.52,442.36
7400,147,-6.14426,50,0.9766,,,71.278,10.5002,0.68,698.38
7450,148,-2.45034,50,0.9764,,,66.34,5.1881,0.34,275.66
7500,149,-3.88222,50,0.9762,,,63.75,8.9494,0.58,392.08
7550,150,-0.71618,50,0.9761,,,73.69,2.5794,0.28,77.12
7600,151,-2.69221,50,0.9759,,,68.634,6.371,0.52,283.97
7650,152,-2.1641,50,0.9758,,,76.523,4.7643,0.3,234.56
7700,153,-3.60963,50,0.9756,,,63.158,8.3521,0.54,369.83
7750,154,-3.91528,50,0.9755,,,70.363,8.1896,0.5,422.16
7800,155,-4.55972,50,0.9753,,,71.2,9.0492,0.64,502.37
7850,156,-3.32064,50,0.9751,,,67.281,7.2865,0.46,358.3
7900,157,-1.65651,50,0.975,,,69.194,5.0412,0.38,159.27
7950,158,-3.24288,50,0.9748,,,69.996,7.1109,0.42,333.72
8000,159,-2.43101,50,0.9747,,,65.892,6.197,0.52,246.11
8050,160,-7.6723,50,0.9745,,,72.038,13.4275,0.64,855.73
8100,161,-2.17323,50,0.9744,,,66.075,5.9978,0.48,215.5
8150,162,-4.13218,50,0.9742,,,67.113,8.606,0.48,449.22
8200,163,-4.48539,50,0.974,,,68.762,10.7081,0.64,445.04
8250,164,-3.91238,50,0.9739,,,68.0,9.0168,0.64,395.1
8300,165,-2.87612,50,0.9737,,,61.703,6.4637,0.54,313.12
8350,166,-2.38448,50,0.9736,,,60.0,5.8454,0.54,244.84
8400,167,-1.54785,50,0.9734,,,65.971,5.0184,0.44,138.28
8450,168,-1.86086,50,0.9732,,,64.0,3.9615,0.36,223.82
8500,169,-3.04609,50,0.9731,,,79.263,6.43,0.38,331.12
8550,170,-6.99005,50,0.9729,,,75.95,12.9939,0.72,762.48
