global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
9100,181,-3.6188,50,0.9712,,,73.917,7.1742,0.42,398.41
9150,182,-4.10977,50,0.971,,,65.819,8.2308,0.52,450.48
9200,183,-0.51988,50,0.9709,,,69.584,2.5152,0.24,49.67
9250,184,-2.13194,50,0.9707,,,77.728,6.2067,0.44,204.78
9300,185,-2.72866,50,0.9706,,,65.008,5.4318,0.46,311.34
9350,186,-6.63394,50,0.9704,,,77.55,13.2667,0.72,700.08
9400,187,-3.4582,50,0.9702,,,65.679,7.291,0.48,377.87
9450,188,-1.74426,50,0.9701,,,71.616,4.6565,0.38,185.08
9500,189,-0.93908,50,0.9699,,,74.592,3.5638,0.28,84.79
9550,190,-5.56221,50,0.9698,,,69.84,9.7156,0.56,628.5
9600,191,-2.03135,50,0.9696,,,76.547,5.2974,0.34,207.02
9650,192,-3.48236,50,0.9694,,,69.385,6.3782,0.46,403.19
9700,193,-0.8565,50,0.9693,,,64.046,2.6315,0.24,103.89
9750,194,-0.34764,50,0.9691,,,61.656,1.7976,0.12,41.54
9800,195,-5.61734,50,0.969,,,73.75,9.3251,0.62,651.11
9850,196,-0.99866,50,0.9688,,,68.246,3.2722,0.26,105.51
9900,197,-1.43758,50,0.9687,,,69.99,4.1535,0.3,148.92
9950,198,-2.92151,50,0.9685,,,60.345,7.0104,0.58,297.55
10000,199,-2.32002,50,0.9683,,,62.37,6.0358,0.56,232.57
10050,200,-3.8937,50,0.9682,0.013028,,68.44,7.2772,0.5,439.25
10100,201,-1.05815,50,0.968,0.007777,,69.904,3.7269,0.32,95.99
10150,202,-4.3683,50,0.9679,0.007237,,80.626,8.2704,0.5,487.68
10200,203,-2.15721,50,0.9677,0.011376,,69.766,6.4327,0.44,193.93
10250,204,-2.62353,50,0.9675,0.007962,,68.657,6.9468,0.44,258.11
10300,205,-1.34904,50,0.9674,0.005138,,65.163,3.8163,0.34,142.28
10350,206,-2.68345,50,0.9672,0.010452,,67.5,6.2694,0.46,289.24
10400,207,-1.93261,50,0.9671,0.010501,,79.044,4.5328,0.36,204.38
10450,208,-3.92394,50,0.9669,0.010478,,65.529,8.0812,0.62,428.09
10500,209,-5.83693,50,0.9667,0.010535,,71.955,10.5563,0.66,646.31
