global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
9600,191,-2.97018,50,0.9696,,,66.576,7.9059,0.56,288.72
9650,192,-2.6043,50,0.9694,,,68.315,7.678,0.64,237.85
9700,193,-1.85244,50,0.9693,,,69.361,5.9182,0.5,154.76
9750,194,-1.11926,50,0.9691,,,69.743,4.6712,0.46,84.03
9800,195,-0.51884,50,0.969,,,69.999,3.261,0.32,36.18
9850,196,-0.25039,50,0.9688,,,76.71,2.1153,0.14,12.52
9900,197,-1.82064,50,0.9687,,,70.516,6.016,0.58,160.21
9950,198,-1.44924,50,0.9685,,,63.628,5.8542,0.46,106.77
10000,199,-0.00161,50,0.9683,,,79.402,0.9596,0.08,6.36
10050,200,-0.61723,50,0.9682,0.011299,,66.491,3.3052,0.22,48.03
10100,201,-4.25567,50,0.968,0.0081,,68.272,8.762,0.6,458.56
10150,202,-1.76156,50,0.9679,0.007578,,69.707,5.5338,0.38,162.57
10200,203,-1.99311,50,0.9677,0.007255,,79.519,6.5206,0.48,166.35
10250,204,-2.35252,50,0.9675,0.006757,,66.364,5.2599,0.38,264.84
10300,205,-1.37255,50,0.9674,0.006076,,71.202,4.8645,0.36,117.7
10350,206,-2.6341,50,0.9672,0.00696,,71.037,8.0497,0.72,226.84
10400,207,-1.64577,50,0.9671,0.00676,,71.162,4.672,0.48,169.38
10450,208,-2.09569,50,0.9669,0.004667,,73.263,7.058,0.54,176.52
10500,209,-2.75382,50,0.9667,0.004862,,73.6,7.7088,0.64,255.04
10550,210,-1.17626,50,0.9666,0.005127,,68.658,4.1871,0.38,111.69
10600,211,-1.71526,50,0.9664,0.005943,,65.091,5.1664,0.54,167.06
10650,212,-0.95534,50,0.9663,0.00578,,72.076,4.1703,0.4,77.56
10700,213,-2.76403,50,0.9661,0.004604,,68.861,6.8333,0.62,282.62
10750,214,-0.1885,50,0.966,0.004604,,64.28,1.9748,0.2,19.68
10800,215,-0.63212,50,0.9658,0.004127,,67.161,3.5797,0.4,49.93
10850,216,-0.19633,50,0.9656,0.00417,,71.517,1.5972,0.14,27.78
10900,217,-1.46616,50,0.9655,0.004226,,59.024,4.2675,0.5,161.72
10950,218,-2.17339,50,0.9653,0.004434,,69.843,6.593,0.6,199.17
11000,219,-2.21739,50,0.9652,0.004145,,72.786,7.4965,0.56,186.43
11050,220,-2.10587,50,0.965,0.007633,,68.098,7.2742,0.58,174.76
